07:19:03.989 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.23ms nav=29.22ms aim=0.00ms block=
07:19:04.344 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=30.10ms nav=30.09ms aim=0.00ms block=
07:19:04.697 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=30.57ms nav=30.55ms aim=0.01ms block=
07:19:05.075 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.47ms nav=29.46ms aim=0.00ms block=
07:19:05.429 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.49ms nav=29.48ms aim=0.00ms block=
07:19:05.784 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.78ms nav=29.77ms aim=0.00ms block=
07:19:06.139 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.49ms nav=29.48ms aim=0.00ms block=
07:19:06.546 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=59.54ms nav=29.41ms aim=30.13ms block=
07:19:06.907 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.52ms nav=29.52ms aim=0.00ms block=
07:19:07.283 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.28ms nav=29.28ms aim=0.00ms block=
07:19:07.635 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.29ms nav=29.28ms aim=0.00ms block=
07:19:08.016 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=31.21ms nav=31.20ms aim=0.00ms block=
07:19:08.378 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.33ms nav=29.33ms aim=0.00ms block=
07:19:08.735 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.24ms nav=29.24ms aim=0.00ms block=
07:19:09.131 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=32.12ms nav=32.11ms aim=0.00ms block=
07:19:09.495 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.47ms nav=29.46ms aim=0.00ms block=
07:19:09.859 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=32.02ms nav=32.01ms aim=0.00ms block=
07:19:10.216 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.43ms nav=29.42ms aim=0.00ms block=
07:19:10.611 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=32.11ms nav=32.10ms aim=0.00ms block=
07:19:10.981 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.31ms nav=29.31ms aim=0.00ms block=
07:19:11.341 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=32.15ms nav=32.15ms aim=0.00ms block=
07:19:11.699 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.49ms nav=29.48ms aim=0.00ms block=
07:19:12.062 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.41ms nav=29.40ms aim=0.00ms block=
07:19:12.425 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=32.22ms nav=32.22ms aim=0.00ms block=
07:19:12.786 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.53ms nav=29.52ms aim=0.00ms block=
07:19:13.194 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=31.93ms nav=31.92ms aim=0.00ms block=
07:19:13.570 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.29ms nav=29.29ms aim=0.00ms block=
07:19:13.936 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=32.08ms nav=32.07ms aim=0.00ms block=
07:19:14.312 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.45ms nav=29.44ms aim=0.00ms block=
07:19:14.704 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=32.16ms nav=32.15ms aim=0.00ms block=
07:19:15.074 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.40ms nav=29.39ms aim=0.00ms block=
07:19:15.449 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=32.27ms nav=32.26ms aim=0.00ms block=
07:19:15.828 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.49ms nav=29.48ms aim=0.00ms block=
07:19:16.178 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.32ms nav=29.31ms aim=0.00ms block=
07:19:16.530 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=32.49ms nav=32.48ms aim=0.00ms block=
07:19:16.894 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.90ms nav=29.89ms aim=0.00ms block=
07:19:17.260 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.45ms nav=29.44ms aim=0.00ms block=
07:19:17.630 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=32.66ms nav=32.66ms aim=0.00ms block=
07:19:17.985 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.33ms nav=29.32ms aim=0.00ms block=
07:19:18.352 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.49ms nav=29.48ms aim=0.00ms block=
07:19:18.720 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=32.31ms nav=32.31ms aim=0.00ms block=
07:19:19.087 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.32ms nav=29.31ms aim=0.00ms block=
07:19:19.453 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.42ms nav=29.41ms aim=0.00ms block=
07:19:19.821 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=32.29ms nav=32.27ms aim=0.00ms block=
07:19:20.173 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.31ms nav=29.30ms aim=0.00ms block=
07:19:20.538 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.32ms nav=29.32ms aim=0.00ms block=
07:19:20.905 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=32.11ms nav=32.10ms aim=0.00ms block=
07:19:21.268 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.34ms nav=29.34ms aim=0.00ms block=
07:19:21.665 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=59.29ms nav=29.33ms aim=29.95ms block=
07:19:22.025 entity=red_robot_1 role=hero team=red branch=recover total=27.48ms nav=27.47ms aim=0.01ms block=
07:19:22.377 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.50ms nav=29.49ms aim=0.00ms block=
07:19:22.744 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=32.24ms nav=32.24ms aim=0.00ms block=
07:19:23.109 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=30.49ms nav=30.48ms aim=0.00ms block=
07:19:23.475 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.38ms nav=29.37ms aim=0.00ms block=
07:19:23.842 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=32.24ms nav=32.23ms aim=0.00ms block=
07:19:24.237 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=32.33ms nav=32.32ms aim=0.00ms block=
07:19:24.631 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=32.07ms nav=32.07ms aim=0.00ms block=
07:19:24.982 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.33ms nav=29.32ms aim=0.00ms block=
07:19:25.349 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.41ms nav=29.41ms aim=0.00ms block=
07:19:25.711 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=32.07ms nav=32.06ms aim=0.00ms block=
07:19:26.070 entity=blue_robot_7 role=sentry team=blue branch=recover total=28.72ms nav=28.67ms aim=0.06ms block=
07:19:26.430 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.30ms nav=29.30ms aim=0.00ms block=
07:19:26.798 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.33ms nav=29.32ms aim=0.00ms block=
07:19:27.180 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=31.50ms nav=31.48ms aim=0.02ms block=
07:19:27.556 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.59ms nav=29.58ms aim=0.00ms block=
07:19:27.927 entity=red_robot_4 role=infantry team=red branch=fallback_direct total=31.06ms nav=31.05ms aim=0.00ms block=
07:19:28.307 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.38ms nav=29.37ms aim=0.00ms block=
07:19:28.658 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.27ms nav=29.26ms aim=0.00ms block=
07:19:29.034 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.35ms nav=29.34ms aim=0.00ms block=
07:19:29.424 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.34ms nav=29.33ms aim=0.00ms block=
07:19:29.775 entity=blue_robot_7 role=sentry team=blue branch=recover total=28.85ms nav=28.80ms aim=0.05ms block=
07:19:30.137 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.37ms nav=29.36ms aim=0.00ms block=
07:19:30.498 entity=blue_robot_7 role=sentry team=blue branch=recover total=30.03ms nav=29.97ms aim=0.05ms block=
07:19:30.861 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.44ms nav=29.44ms aim=0.00ms block=
07:19:31.211 entity=blue_robot_7 role=sentry team=blue branch=recover total=28.88ms nav=28.82ms aim=0.06ms block=
