22:24:59.000 total=1.66ms reload=0.00ms input=0.01ms motion=1.08ms filter=0.00ms rules=0.57ms select=0.01ms entities=15 projectiles=1
22:25:01.004 total=1.81ms reload=0.00ms input=0.01ms motion=1.10ms filter=0.00ms rules=0.69ms select=0.01ms entities=15 projectiles=1
22:25:03.377 total=2.24ms reload=0.00ms input=0.01ms motion=1.54ms filter=0.00ms rules=0.68ms select=0.01ms entities=15 projectiles=1
22:25:05.396 total=1.70ms reload=0.00ms input=0.01ms motion=1.14ms filter=0.00ms rules=0.54ms select=0.00ms entities=15 projectiles=1
22:25:07.412 total=2.26ms reload=0.00ms input=0.01ms motion=1.69ms filter=0.00ms rules=0.55ms select=0.00ms entities=15 projectiles=1
22:25:09.422 total=1.75ms reload=0.00ms input=0.01ms motion=1.18ms filter=0.00ms rules=0.54ms select=0.00ms entities=15 projectiles=1
22:25:11.444 total=2.01ms reload=0.00ms input=0.01ms motion=1.25ms filter=0.00ms rules=0.74ms select=0.01ms entities=15 projectiles=1
22:25:13.444 total=1.87ms reload=0.00ms input=0.01ms motion=1.29ms filter=0.00ms rules=0.57ms select=0.01ms entities=15 projectiles=1
22:25:15.473 total=1.89ms reload=0.00ms input=0.01ms motion=1.19ms filter=0.00ms rules=0.68ms select=0.01ms entities=15 projectiles=1
22:25:17.503 total=1.72ms reload=0.00ms input=0.01ms motion=1.15ms filter=0.00ms rules=0.55ms select=0.01ms entities=15 projectiles=1
22:25:19.505 total=2.02ms reload=0.00ms input=0.01ms motion=1.30ms filter=0.00ms rules=0.70ms select=0.01ms entities=15 projectiles=1
22:25:21.512 total=1.81ms reload=0.00ms input=0.01ms motion=1.23ms filter=0.00ms rules=0.56ms select=0.00ms entities=15 projectiles=1
22:25:23.527 total=1.97ms reload=0.00ms input=0.12ms motion=1.24ms filter=0.00ms rules=0.60ms select=0.00ms entities=15 projectiles=1
22:25:25.547 total=1.85ms reload=0.00ms input=0.01ms motion=1.17ms filter=0.00ms rules=0.66ms select=0.01ms entities=15 projectiles=1
22:25:27.566 total=1.76ms reload=0.00ms input=0.01ms motion=1.19ms filter=0.00ms rules=0.55ms select=0.00ms entities=15 projectiles=1
22:25:29.604 total=2.57ms reload=0.00ms input=0.02ms motion=1.78ms filter=0.00ms rules=0.75ms select=0.01ms entities=15 projectiles=1
22:25:31.613 total=1.85ms reload=0.00ms input=0.01ms motion=1.16ms filter=0.00ms rules=0.66ms select=0.01ms entities=15 projectiles=1
22:25:33.628 total=1.75ms reload=0.00ms input=0.01ms motion=1.10ms filter=0.00ms rules=0.62ms select=0.00ms entities=15 projectiles=1
22:25:35.636 total=1.69ms reload=0.00ms input=0.01ms motion=1.15ms filter=0.00ms rules=0.52ms select=0.00ms entities=15 projectiles=1
22:25:37.649 total=2.63ms reload=0.00ms input=0.01ms motion=1.60ms filter=0.01ms rules=1.00ms select=0.01ms entities=15 projectiles=1
22:25:39.663 total=1.51ms reload=0.00ms input=0.01ms motion=0.97ms filter=0.00ms rules=0.53ms select=0.00ms entities=15 projectiles=1
22:25:41.674 total=3.51ms reload=0.00ms input=0.01ms motion=2.82ms filter=0.00ms rules=0.67ms select=0.01ms entities=15 projectiles=1
22:25:43.701 total=1.65ms reload=0.00ms input=0.01ms motion=0.93ms filter=0.00ms rules=0.70ms select=0.01ms entities=15 projectiles=1
22:25:45.738 total=1.94ms reload=0.00ms input=0.01ms motion=1.10ms filter=0.00ms rules=0.82ms select=0.01ms entities=15 projectiles=1
22:25:47.738 total=1.24ms reload=0.00ms input=0.01ms motion=0.47ms filter=0.00ms rules=0.75ms select=0.00ms entities=15 projectiles=1
22:25:49.757 total=1.53ms reload=0.00ms input=0.01ms motion=0.50ms filter=0.00ms rules=1.01ms select=0.00ms entities=15 projectiles=1
22:25:51.761 total=1.08ms reload=0.00ms input=0.01ms motion=0.43ms filter=0.00ms rules=0.64ms select=0.00ms entities=15 projectiles=1
